GPU, id:0, uuid:GPU-088ea86c-1c63-4ab7-a417-a06257e8840c, load:0.03, memoryUtil:0.2855224609375, memoryTotal:8192.0, memoryUsed:2339.0, memoryFree:5651.0, driver:555.99, name:NVIDIA GeForce RTX 2080, serial:[N/A], display_mode:Enabled, display_active:Enabled, temperature:36.0, 
CPU, util: 0.0%, load: [19.0, 9.2, 12.3, 5.6, 4.3, 4.3, 5.1, 7.2, 5.7, 4.9, 9.1, 6.1], 
MEM, mem: svmem(total=16734416896, available=13374550016, percent=20.1, used=2988503040, free=11398533120, active=560582656, inactive=3949981696, buffers=57106432, cached=2290274304, shared=30629888, slab=384864256), swap: sswap(total=4294967296, used=0, free=4294967296, percent=0.0, sin=0, sout=0), 
MEM, mem: svmem(total=16734416896, available=13373886464, percent=20.1, used=2989117440, free=11397382144, active=560635904, inactive=3956035584, buffers=57106432, cached=2290810880, shared=30638080, slab=384921600), swap: sswap(total=4294967296, used=0, free=4294967296, percent=0.0, sin=0, sout=0), 
GPU, id:0, uuid:GPU-088ea86c-1c63-4ab7-a417-a06257e8840c, load:0.13, memoryUtil:0.2845458984375, memoryTotal:8192.0, memoryUsed:2331.0, memoryFree:5659.0, driver:555.99, name:NVIDIA GeForce RTX 2080, serial:[N/A], display_mode:Enabled, display_active:Enabled, temperature:36.0, 
GPU, id:0, uuid:GPU-088ea86c-1c63-4ab7-a417-a06257e8840c, load:0.13, memoryUtil:0.2845458984375, memoryTotal:8192.0, memoryUsed:2331.0, memoryFree:5659.0, driver:555.99, name:NVIDIA GeForce RTX 2080, serial:[N/A], display_mode:Enabled, display_active:Enabled, temperature:36.0, 
CPU, util: 0.0%, load: [21.6, 12.8, 14.7, 10.5, 14.8, 8.3, 11.0, 10.0, 22.2, 10.0, 15.4, 9.4], 
MEM, mem: svmem(total=16734416896, available=13373669376, percent=20.1, used=2989379584, free=11396939776, active=560648192, inactive=3957268480, buffers=57106432, cached=2290991104, shared=30638080, slab=384733184), swap: sswap(total=4294967296, used=0, free=4294967296, percent=0.0, sin=0, sout=0), 
GPU, id:0, uuid:GPU-088ea86c-1c63-4ab7-a417-a06257e8840c, load:0.02, memoryUtil:0.2890625, memoryTotal:8192.0, memoryUsed:2368.0, memoryFree:5622.0, driver:555.99, name:NVIDIA GeForce RTX 2080, serial:[N/A], display_mode:Enabled, display_active:Enabled, temperature:37.0, 
CPU, util: 0.0%, load: [0.5, 0.0, 1.5, 1.0, 0.0, 0.5, 0.5, 0.0, 14.8, 0.0, 1.0, 0.0], 
MEM, mem: svmem(total=16734416896, available=13370228736, percent=20.1, used=2992820224, free=11393499136, active=560648192, inactive=3958689792, buffers=57106432, cached=2290991104, shared=30638080, slab=384712704), swap: sswap(total=4294967296, used=0, free=4294967296, percent=0.0, sin=0, sout=0), 
GPU, id:0, uuid:GPU-088ea86c-1c63-4ab7-a417-a06257e8840c, load:0.01, memoryUtil:0.2889404296875, memoryTotal:8192.0, memoryUsed:2367.0, memoryFree:5623.0, driver:555.99, name:NVIDIA GeForce RTX 2080, serial:[N/A], display_mode:Enabled, display_active:Enabled, temperature:38.0, 
CPU, util: 0.0%, load: [0.0, 1.0, 4.0, 2.0, 1.0, 1.0, 0.5, 1.0, 9.5, 0.0, 0.5, 0.0], 
MEM, mem: svmem(total=16734416896, available=13369413632, percent=20.1, used=2993635328, free=11392675840, active=560656384, inactive=3957436416, buffers=57114624, cached=2290991104, shared=30638080, slab=384712704), swap: sswap(total=4294967296, used=0, free=4294967296, percent=0.0, sin=0, sout=0), 
